Index,Oil
2027,46.25
2028,48.69
2029,46.39
2030,47.78
2031,46.31
2032,45.59
2033,45.15
2034,46.23
2035,44.45
2036,44.53
2037,48.24
2038,49.57
2039,53.05
2040,48.45
2041,50.48
2042,51.69
2043,52.86
2044,50.02
2045,48.84
2046,51.21
2047,52.78
2048,53.53
2049,52.14
2050,51.16
2051,50.34
2052,49.45
2053,49.28
2054,50.99
2055,48.17
2056,49.76
2057,49.59
2058,50.52
2059,51.53
2060,50.76
2061,49.61
2062,50
2063,48.29
2064,48.17
2065,47.05
2066,44.84
2067,43.88
2068,43.46
2069,44.66
2070,43.96
2071,45.72
2072,47.45
2073,47.51
2074,49.21
2075,51.43
2076,48.87
2077,48.68
2078,47.6
2079,50.09
2080,49.14
2081,52.14
2082,53.98
2083,50.42
2084,50.79
2085,51.64
2086,51.91
2087,53.29
2088,56.39
2089,56.71
2090,55.74
2091,56.38
2092,55.26
2093,56.16
2094,57.74
2095,57.15
2096,56.99
2097,57.06
2098,58.58
2099,59.63
2100,59.15
2101,58.93
2102,60.4
2103,60.93
2104,58.94
2105,59.39
2106,59.25
2107,60.75
2108,60.5
2109,59.88
2110,59.69
2111,59.43
2112,57.26
2113,58.98
2114,60.72
2115,59.72
2116,58.03
2117,57.51
2118,57.68
2119,60.3
2120,60.2
2121,61.26
2122,59.64
2123,58
2124,59.13
2125,58.14
2126,60.14
2127,61.43
2128,60.77
2129,59.96
2130,59.52
2131,59.97
2132,59.92
2133,60.45
2134,59.61
2135,59.68
2136,61.01
2137,60.27
2138,59.7
2139,59.63
2140,58.33
2141,59.47
2142,56.96
2143,56.93
2144,52.53
2145,52.33
